Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R_1114,Thai Style Peanut butter with  lemongrass,Thai,"peanut butter,  lemongrass, coconut milk, curry paste, noodles, shrimp, fish sauce",1. Chop ingredients. 2. Cook for 13 mins. 3. Serve.,13,Easy,U_0279,"Chinese, Italian, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-04-06,Year-round,Party,6,173,Soy,13.34,7.5,Year-round
R_0313,Mexican Style Avocado with Lime,Mexican,"avocado, lime, tomato, corn, cilantro, beans",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,109,Hard,U_0286,"Chinese, Italian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-09-07,Spring,Healthy,2,689,None,21.29,4.2,Spring
R_0560,French Style Wine with Baguette,French,"wine, baguette, shallots, herb de provence, cheese",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,49,Medium,U_0277,"Indian, Greek, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-01-25,Year-round,Weeknight,6,543,Gluten,22.95,4.5,Year-round
R_0941,Indian Style Curry powder with Rice,Indian,"curry powder, rice, onion, turmeric, coconut milk, coriander, cumin",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,48,Medium,U_0464,"Chinese, Indian, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-07-22,Winter,Breakfast,4,389,Dairy,22.93,6.0,Winter
R_0630,Greek Style Lamb with Olive oil,Greek,"lamb, olive oil,  tomato, greek yogurt, garlic",1. Chop ingredients. 2. Cook for 23 mins. 3. Serve.,23,Easy,U_0214,"Indian, Chinese, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-02-09,Year-round,Festive,1,249,Soy,17.39,4.0,Year-round
R_1014,American Style Lettuce with Bun,American,"lettuce, bun, mayo, bbq sauce, potatoes, tomato",1. Chop ingredients. 2. Cook for 28 mins. 3. Serve.,28,Easy,U_0164,"French, Mexican, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-23,Spring,Healthy,2,404,Gluten,12.68,5.9,Spring
R_0153,Chinese Style Noodles with Chicken,Chinese,"noodles, chicken, tofu, garlic, broccoli, scallions",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,118,Hard,U_0452,"Greek, Indian, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-06-02,Autumn,Party,6,162,Soy,2.38,9.8,Autumn
R_1430,American Style Tomato with Bun,American,"tomato, bun, cheddar, bacon, potatoes, bbq sauce, mayo, beef patty",1. Chop ingredients. 2. Cook for 11 mins. 3. Serve.,11,Easy,U_0178,"Mediterranean, Mexican, Time: Short",3.8,Very delicious and easy to follow.,2025-11-15,Summer,Breakfast,4,347,Gluten,11.47,10.0,Summer
R_0451,Italian Style Tomato sauce with Basil,Italian,"tomato sauce, basil, mozzarella, parmesan",1. Chop ingredients. 2. Cook for 25 mins. 3. Serve.,25,Easy,U_0442,"French, Italian, Time: Short",5.0,"Absolutely loved it, will make again!",2025-09-19,Spring,Healthy,2,460,None,16.31,7.8,Spring
R_1730,American Style Lettuce with Tomato,American,"lettuce, tomato, beef patty, bbq sauce, bacon",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,131,Hard,U_0170,"American, French, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-09-20,Year-round,Breakfast,1,318,Seafood,9.36,9.5,Year-round
R_1862,American Style Lettuce with Bun,American,"lettuce, bun, mayo, potatoes, bbq sauce, beef patty",1. Chop ingredients. 2. Cook for 19 mins. 3. Serve.,19,Easy,U_0206,"Greek, Mexican, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-07-12,Year-round,Breakfast,2,566,Seafood,23.59,4.1,Year-round
R_0943,Mexican Style Tomato with Beans,Mexican,"tomato, beans, cheese, avocado, lime",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0119,"Thai, American, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-07-01,Summer,Breakfast,4,218,Seafood,12.34,7.4,Summer
R_0407,Greek Style Feta with Olive oil,Greek,"feta, olive oil, garlic, greek yogurt, lamb",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0222,"Greek, Japanese, Time: Any",4.8,"Absolutely loved it, will make again!",2025-06-16,Autumn,Dessert,2,241,Eggs,18.26,7.2,Autumn
R_0102,Thai Style Coconut milk with Curry paste,Thai,"coconut milk, curry paste, noodles, shrimp,  lemongrass",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,90,Hard,U_0363,"Greek, Indian, Time: Long",3.8,Very delicious and easy to follow.,2025-06-01,Year-round,Breakfast,6,341,None,17.28,1.6,Year-round
R_0585,Chinese Style Ginger with Garlic,Chinese,"ginger, garlic, broccoli, chicken",1. Chop ingredients. 2. Cook for 16 mins. 3. Serve.,16,Easy,U_0041,"Chinese, American, Time: Any",4.8,"Absolutely loved it, will make again!",2025-09-25,Summer,Weeknight,6,791,None,23.0,3.6,Summer
R_1135,Japanese Style Salmon with Miso,Japanese,"salmon, miso, wasabi, mirin, soy sauce, seaweed",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,145,Hard,U_0477,"Italian, Chinese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-01-15,Year-round,Weeknight,4,332,Dairy,13.55,9.7,Year-round
R_1454,American Style Lettuce with Mayo,American,"lettuce, mayo, tomato, cheddar, beef patty, bbq sauce, bun",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,105,Hard,U_0085,"Japanese, Thai, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-11-18,Spring,Festive,4,217,Soy,12.05,6.2,Spring
R_1510,Japanese Style Wasabi with Seaweed,Japanese,"wasabi, seaweed, rice, mirin, soy sauce, salmon, tuna",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,100,Hard,U_0438,"American, Thai, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-10-10,Winter,Party,1,183,Gluten,15.38,1.7,Winter
R_0274,Greek Style Cucumber with  tomato,Greek,"cucumber,  tomato, greek yogurt, oregano, feta, garlic",1. Chop ingredients. 2. Cook for 12 mins. 3. Serve.,12,Easy,U_0349,"Italian, Chinese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-09-25,Spring,Dessert,6,540,Soy,11.09,2.4,Spring
R_0634,Indian Style Rice with Onion,Indian,"rice, onion, garlic, cumin, coconut milk, coriander, ginger, curry powder",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,31,Medium,U_0091,"Mexican, Chinese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-06-23,Year-round,Breakfast,6,725,Nuts,19.93,2.9,Year-round
R_1889,Italian Style Olive oil with Garlic,Italian,"olive oil, garlic, mozzarella, oregano, pasta, tomato sauce",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,56,Medium,U_0072,"Italian, Greek, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-02-08,Spring,Festive,1,617,Dairy,13.12,6.2,Spring
R_0866,Italian Style Basil with Olive oil,Italian,"basil, olive oil, pasta, oregano",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,109,Hard,U_0481,"Indian, Italian, Time: Long",5.0,"Absolutely loved it, will make again!",2025-03-29,Spring,Party,1,393,Dairy,5.72,5.3,Spring
R_1549,Greek Style Olive oil with Lamb,Greek,"olive oil, lamb, garlic, cucumber, oregano, greek yogurt, feta,  tomato",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,69,Hard,U_0469,"Indian, French, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-12-06,Autumn,Breakfast,4,338,Seafood,20.64,8.6,Autumn
R_1940,Mediterranean Style Olive oil with Chickpeas,Mediterranean,"olive oil, chickpeas, tahini, cucumber",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,110,Hard,U_0268,"Japanese, Mexican, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-12-27,Winter,Weeknight,2,322,None,4.81,9.1,Winter
R_0824,Thai Style Fish sauce with Peanut butter,Thai,"fish sauce, peanut butter, noodles, curry paste, coconut milk, shrimp,  lemongrass",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0277,"Indian, Greek, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-07-15,Summer,Festive,6,343,Eggs,16.64,6.5,Summer
R_1062,Italian Style Mozzarella with Oregano,Italian,"mozzarella, oregano, garlic, basil, olive oil, tomato sauce",1. Chop ingredients. 2. Cook for 16 mins. 3. Serve.,16,Easy,U_0222,"Greek, Japanese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-10-27,Summer,Breakfast,1,312,None,12.9,1.3,Summer
R_0600,American Style Beef patty with Lettuce,American,"beef patty, lettuce, cheddar, tomato, bun, bbq sauce",1. Chop ingredients. 2. Cook for 14 mins. 3. Serve.,14,Easy,U_0022,"Italian, Mexican, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-06-11,Summer,Festive,6,644,Gluten,8.69,8.2,Summer
R_1409,American Style Tomato with Cheddar,American,"tomato, cheddar, bbq sauce, lettuce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,77,Hard,U_0428,"American, Italian, Time: Any",4.8,"Absolutely loved it, will make again!",2025-11-11,Year-round,Breakfast,1,160,Nuts,9.8,1.3,Year-round
R_0728,Mexican Style Tortilla with Corn,Mexican,"tortilla, corn, cilantro, lime, avocado, cheese",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0140,"Thai, French, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-07-19,Autumn,Dessert,2,737,Gluten,14.8,4.9,Autumn
R_1402,Greek Style Greek yogurt with Cucumber,Greek,"greek yogurt, cucumber, lamb, olive oil",1. Chop ingredients. 2. Cook for 29 mins. 3. Serve.,29,Easy,U_0302,"Italian, French, Time: Short",3.8,Very delicious and easy to follow.,2026-01-01,Summer,Breakfast,1,340,Nuts,14.53,3.4,Summer
R_1175,American Style Bbq sauce with Lettuce,American,"bbq sauce, lettuce, beef patty, cheddar, tomato",1. Chop ingredients. 2. Cook for 14 mins. 3. Serve.,14,Easy,U_0311,"French, Japanese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-09-27,Autumn,Dessert,4,404,Gluten,7.37,2.6,Autumn
R_1347,American Style Bacon with Beef patty,American,"bacon, beef patty, bbq sauce, mayo",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,43,Medium,U_0390,"Indian, Thai, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-06-08,Autumn,Festive,4,351,Eggs,19.2,5.9,Autumn
R_1813,Japanese Style Soy sauce with Salmon,Japanese,"soy sauce, salmon, miso, rice, seaweed, tuna, wasabi",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,128,Hard,U_0090,"Mexican, French, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-10-02,Autumn,Healthy,6,645,Gluten,16.63,9.5,Autumn
R_0644,American Style Beef patty with Cheddar,American,"beef patty, cheddar, bbq sauce, mayo, bun",1. Chop ingredients. 2. Cook for 10 mins. 3. Serve.,10,Easy,U_0257,"Indian, Greek, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-03-22,Winter,Healthy,4,443,Soy,7.2,9.0,Winter
R_0102,Thai Style Coconut milk with Curry paste,Thai,"coconut milk, curry paste, noodles, shrimp,  lemongrass",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,90,Hard,U_0355,"Thai, Greek, Time: Short",4.8,"Absolutely loved it, will make again!",2025-09-30,Year-round,Breakfast,6,341,None,17.28,1.6,Year-round
R_0386,Mexican Style Cheese with Tortilla,Mexican,"cheese, tortilla, corn, lime, cilantro, avocado, beans, jalapeno",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,141,Hard,U_0147,"Thai, Mexican, Time: Long",5.0,"Absolutely loved it, will make again!",2025-08-18,Autumn,Breakfast,4,581,Seafood,10.12,2.5,Autumn
R_1570,Thai Style Curry paste with Coconut milk,Thai,"curry paste, coconut milk, fish sauce, peanut butter, shrimp,  lemongrass, noodles",1. Chop ingredients. 2. Cook for 27 mins. 3. Serve.,27,Easy,U_0453,"Indian, Chinese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-01-19,Year-round,Healthy,6,565,Gluten,5.61,4.3,Year-round
R_0320,Indian Style Curry powder with Cumin,Indian,"curry powder, cumin, coriander, coconut milk, turmeric, onion, rice",1. Chop ingredients. 2. Cook for 18 mins. 3. Serve.,18,Easy,U_0169,"American, Mediterranean, Time: Short",3.8,Very delicious and easy to follow.,2025-03-20,Summer,Healthy,1,404,Nuts,10.85,10.0,Summer
R_1829,French Style Wine with Herb de provence,French,"wine, herb de provence, cheese, beef, shallots, cream, baguette",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,138,Hard,U_0023,"Italian, Thai, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-05-05,Winter,Healthy,6,166,None,11.4,8.7,Winter
R_0374,Japanese Style Miso with Wasabi,Japanese,"miso, wasabi, seaweed, rice",1. Chop ingredients. 2. Cook for 27 mins. 3. Serve.,27,Easy,U_0041,"Chinese, American, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-09,Winter,Dessert,6,249,Soy,12.48,3.1,Winter
R_1236,Thai Style Shrimp with Coconut milk,Thai,"shrimp, coconut milk,  lemongrass, noodles, curry paste",1. Chop ingredients. 2. Cook for 25 mins. 3. Serve.,25,Easy,U_0113,"French, Japanese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-12,Summer,Breakfast,1,186,None,7.93,8.0,Summer
R_0884,American Style Cheddar with Bun,American,"cheddar, bun, beef patty, tomato",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,149,Hard,U_0086,"American, Japanese, Time: Long",5.0,"Absolutely loved it, will make again!",2025-11-12,Year-round,Breakfast,6,419,Dairy,5.35,4.6,Year-round
R_0956,Chinese Style Broccoli with Noodles,Chinese,"broccoli, noodles, ginger, chicken, soy sauce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,92,Hard,U_0277,"Indian, Greek, Time: Long",3.8,Very delicious and easy to follow.,2025-10-12,Winter,Healthy,2,491,Soy,6.75,3.9,Winter
R_1715,Mediterranean Style Olive oil with Pita,Mediterranean,"olive oil, pita, chickpeas, cucumber, olives, lemon, feta cheese",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,132,Hard,U_0444,"Italian, Mediterranean, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-08-24,Year-round,Party,6,174,Soy,6.68,2.2,Year-round
R_1929,Japanese Style Rice with Mirin,Japanese,"rice, mirin, wasabi, salmon, soy sauce, tuna, seaweed",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,35,Medium,U_0047,"Mediterranean, Japanese, Time: Any",4.8,"Absolutely loved it, will make again!",2025-03-27,Spring,Weeknight,6,573,None,21.13,5.4,Spring
R_1161,Mexican Style Corn with Cilantro,Mexican,"corn, cilantro, tortilla, avocado",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,79,Hard,U_0108,"American, French, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-03-23,Summer,Party,1,520,Nuts,16.13,5.5,Summer
R_1510,Japanese Style Wasabi with Seaweed,Japanese,"wasabi, seaweed, rice, mirin, soy sauce, salmon, tuna",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,100,Hard,U_0470,"Greek, Italian, Time: Long",3.8,Very delicious and easy to follow.,2025-01-09,Winter,Party,1,183,Gluten,15.38,1.7,Winter
R_0913,French Style Shallots with Beef,French,"shallots, beef, baguette, cheese, cream, wine, herb de provence",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,138,Hard,U_0107,"Japanese, French, Time: Long",5.0,"Absolutely loved it, will make again!",2025-08-10,Summer,Festive,6,306,Dairy,12.45,3.6,Summer
R_0011,Greek Style Olive oil with Greek yogurt,Greek,"olive oil, greek yogurt,  tomato, garlic, oregano",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,60,Medium,U_0484,"French, Mexican, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-07-15,Summer,Weeknight,6,679,Gluten,12.38,4.0,Summer
R_1696,Indian Style Turmeric with Coriander,Indian,"turmeric, coriander, coconut milk, curry powder, rice, cumin",1. Chop ingredients. 2. Cook for 25 mins. 3. Serve.,25,Easy,U_0268,"Japanese, Mexican, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-08-12,Summer,Weeknight,1,567,Seafood,12.67,4.2,Summer
R_1957,Indian Style Turmeric with Garlic,Indian,"turmeric, garlic, coriander, ginger, curry powder",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,42,Medium,U_0151,"American, Mexican, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-03-06,Summer,Weeknight,1,376,Eggs,11.49,6.4,Summer
R_0958,Italian Style Tomato sauce with Pasta,Italian,"tomato sauce, pasta, oregano, parmesan, olive oil, mozzarella, garlic",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,44,Medium,U_0404,"Indian, Thai, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-08-15,Spring,Breakfast,6,531,Nuts,3.75,7.9,Spring
R_0331,Indian Style Curry powder with Garlic,Indian,"curry powder, garlic, cumin, onion, coconut milk, rice, ginger",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,131,Hard,U_0476,"Greek, Japanese, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-09-04,Summer,Party,2,713,Dairy,11.24,10.0,Summer
R_1504,Chinese Style Scallions with Broccoli,Chinese,"scallions, broccoli, tofu, noodles",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,33,Medium,U_0280,"Italian, Chinese, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-07-19,Spring,Dessert,6,456,Gluten,5.16,4.1,Spring
R_0717,Greek Style Greek yogurt with Cucumber,Greek,"greek yogurt, cucumber, lamb, garlic,  tomato",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,55,Medium,U_0070,"Chinese, Greek, Time: Any",4.8,"Absolutely loved it, will make again!",2025-08-07,Spring,Dessert,1,552,Soy,4.9,8.3,Spring
R_0331,Indian Style Curry powder with Garlic,Indian,"curry powder, garlic, cumin, onion, coconut milk, rice, ginger",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,131,Hard,U_0484,"French, Mexican, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-10-05,Summer,Party,2,713,Dairy,11.24,10.0,Summer
R_0092,Mediterranean Style Olive oil with Pita,Mediterranean,"olive oil, pita, olives, feta cheese, lemon, tahini, cucumber, chickpeas",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,126,Hard,U_0360,"Indian, Chinese, Time: Long",3.8,Very delicious and easy to follow.,2025-12-06,Winter,Breakfast,4,217,Eggs,9.58,3.3,Winter
R_0588,Japanese Style Salmon with Miso,Japanese,"salmon, miso, soy sauce, tuna, seaweed, mirin",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,114,Hard,U_0399,"Japanese, American, Time: Any",4.8,"Absolutely loved it, will make again!",2025-06-23,Autumn,Weeknight,6,537,Dairy,16.05,1.0,Autumn
R_0814,Chinese Style Chicken with Noodles,Chinese,"chicken, noodles, broccoli, ginger, tofu, sesame oil, garlic, scallions",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,127,Hard,U_0096,"American, Italian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-08-30,Autumn,Healthy,6,674,None,24.55,7.7,Autumn
R_0907,Mexican Style Beans with Cilantro,Mexican,"beans, cilantro, lime, jalapeno, cheese",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,56,Medium,U_0074,"American, Greek, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-09-28,Summer,Weeknight,1,630,None,13.01,8.5,Summer
R_1314,Thai Style Fish sauce with Shrimp,Thai,"fish sauce, shrimp, curry paste, coconut milk, peanut butter,  lemongrass",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,36,Medium,U_0237,"Japanese, Thai, Time: Any",4.8,"Absolutely loved it, will make again!",2025-07-13,Spring,Breakfast,2,278,None,2.86,3.5,Spring
R_0860,Italian Style Mozzarella with Tomato sauce,Italian,"mozzarella, tomato sauce, parmesan, basil, olive oil",1. Chop ingredients. 2. Cook for 29 mins. 3. Serve.,29,Easy,U_0015,"Chinese, Indian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-05-05,Summer,Healthy,6,326,Eggs,6.02,8.3,Summer
R_1853,Thai Style Curry paste with Coconut milk,Thai,"curry paste, coconut milk, fish sauce, peanut butter, noodles,  lemongrass",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,35,Medium,U_0077,"Greek, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-01-04,Spring,Healthy,4,770,None,8.04,8.9,Spring
R_1836,American Style Cheddar with Tomato,American,"cheddar, tomato, lettuce, bacon, bun, beef patty, bbq sauce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,66,Hard,U_0259,"Indian, Italian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-09-05,Summer,Dessert,1,172,Seafood,19.7,5.9,Summer
R_0549,Japanese Style Tuna with Mirin,Japanese,"tuna, mirin, soy sauce, miso, salmon, seaweed, wasabi",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,44,Medium,U_0230,"American, Mediterranean, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-10-15,Spring,Breakfast,1,333,Dairy,12.16,9.1,Spring
R_1519,Chinese Style Sesame oil with Ginger,Chinese,"sesame oil, ginger, scallions, tofu",1. Chop ingredients. 2. Cook for 11 mins. 3. Serve.,11,Easy,U_0116,"Greek, Chinese, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-05-18,Year-round,Party,1,635,Seafood,6.41,2.6,Year-round
R_1240,Mediterranean Style Olives with Olive oil,Mediterranean,"olives, olive oil, lemon, cucumber",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,52,Medium,U_0225,"Greek, Indian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-02-10,Summer,Festive,4,510,Nuts,3.84,6.1,Summer
R_0749,Japanese Style Mirin with Soy sauce,Japanese,"mirin, soy sauce, rice, salmon, miso, wasabi, tuna, seaweed",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,65,Hard,U_0490,"Mexican, Thai, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-01-04,Winter,Weeknight,2,483,Seafood,15.12,6.8,Winter
